DEPTH,CALI,CHKS:1,CHKS:2,RHOB,GR,DT,RES,SP
93.5,,56.86,52.23,,,,,
140.9524,,,,,39.1293,,,
141.1048,,,,,38.6798,,,
141.2572,,,,,43.3346,,,
141.4096,,,,,49.8092,,,
141.562,9.9008,,,2.189,51.2913,,,
141.7144,9.9018,,,2.1989,48.5073,,,
141.8668,9.8912,,,2.2222,46.2877,,,
142.0192,9.8737,,,2.2242,45.6509,,,
142.1716,9.8217,,,2.2324,45.6211,,,
142.4764,9.8427,,,2.2347,43.558,,,
142.6288,9.8198,,,2.2338,42.4146,,,
142.7812,9.7883,,,2.228,43.1749,,,
142.9336,9.795,,,2.2303,44.2793,,,
143.086,9.8393,,,2.2286,44.2088,,,
143.2384,9.8287,,,2.2338,42.5422,,,
143.3908,9.7933,,,2.2354,41.8657,,,
143.5,,102.58,102.49,,,,,
143.5432,9.7898,,,2.2286,43.1574,,,
143.6956,9.8145,,,2.2221,46.0344,,,
143.848,9.8352,,,2.2169,49.4775,,,
144.0004,9.8186,,,2.2154,51.1342,,,
144.1528,9.8248,,,2.2251,49.6273,,,
144.3052,9.838,,,2.2298,48.2376,,,
144.4576,9.8146,,,2.2341,49.3501,,,
144.61,9.8222,,,2.2352,49.2814,,,
144.7624,9.8275,,,2.2462,47.3878,,,
144.9148,9.7864,,,2.2545,46.4435,,,
145.0672,9.7366,,,2.263,46.3868,,,
145.2196,9.7777,,,2.2651,44.864,,,
145.372,9.8083,,,2.2624,42.52,,,
145.6768,9.8372,,,2.1532,45.9972,,,
145.8292,9.8605,,,2.129,48.8224,,,
145.9816,9.8548,,,2.1021,48.4174,,,
146.134,9.8719,,,2.1018,46.3974,,,
146.2864,9.8661,,,2.1451,44.117,,,
146.4388,9.8641,,,2.1975,42.5909,,,
146.5912,9.9145,,,2.2357,41.6421,,,
146.7436,9.9276,,,2.2555,41.7844,79.1997,160.5859,
146.896,9.9092,,,2.2619,45.1887,78.6889,5.458,
147.0484,9.8847,,,2.2473,49.8414,74.1345,0.1447,
147.2008,9.8657,,,2.2286,52.0798,76.6324,0.0106,
