DEPTH,CALI,RHOB,GR,NPHI,DT,SP,SDT
59.1312,13.0186,,60.798,0.7817,,-156.6953,
59.2836,13.0069,,60.5312,0.8879,,-157.2656,
59.436,13.0186,,64.4796,0.8212,,-157.0703,
59.5884,13.0186,,60.868,0.619,,-156.0781,
59.7408,13.0186,,60.1317,0.5152,,-157.0089,
59.8932,13.0069,,57.1662,0.5632,,-159.3594,
60.0456,13.0069,,57.4115,0.712,,-155.2578,
60.198,13.0186,,65.7066,0.7058,,-155.9688,
60.3504,13.0186,,66.6883,0.736,,-155.8984,
60.5028,12.9953,,64.4338,0.6658,,-155.5391,
60.6552,13.042,,59.438,0.7182,,-156.0703,
60.8076,13.0186,,51.0509,0.7486,,-153.9297,
60.96,12.9953,,53.9574,0.6664,,-153.1161,
61.1124,12.9953,,46.109,0.5146,,-152.4844,
61.2648,13.0069,,54.2218,0.4626,,-152.1875,
61.4172,13.0186,,56.6955,0.4482,,-153.5859,
61.5696,13.0069,,61.3371,0.5185,,-152.7109,
61.722,12.9953,,61.9109,0.4369,,-151.0179,
61.8744,13.0186,,60.237,0.5096,,-150.9219,
62.0268,13.0186,,61.2187,0.5838,,-150.8828,
62.1792,13.0186,,57.1866,0.657,,-150.4609,
62.3316,13.0186,,57.1868,0.6299,,-151.1094,
62.484,13.0069,,60.8467,0.6635,,-150.1328,
62.6364,13.0186,,65.4617,0.6988,,-147.7969,
62.7888,12.9953,,63.4526,0.7154,,-149.1797,
62.9412,13.0186,,61.289,0.6903,,-149.3482,
63.0936,12.9953,,60.0887,0.5549,,-151.5938,
63.246,13.0186,,61.6041,0.6163,,-150.0547,
63.3984,13.0186,,58.4137,0.5486,,-149.1406,
63.5508,13.0069,,54.222,0.6966,,-148.5938,
63.7032,13.0186,,52.5234,0.5401,,-146.6875,
63.8556,13.0069,,51.5232,0.5955,,-145.3125,
64.008,13.0186,,51.2611,0.6786,,-145.8906,
64.1604,12.9953,,49.0173,0.7387,,-144.375,
64.3128,12.9953,,48.2813,0.8061,,-145.9219,
64.4652,12.9953,,50.2784,0.6221,,-145.3672,
64.6176,12.9953,,49.7877,0.8449,,-144.4219,
64.77,12.9953,,50.5237,1.0819,,-144.7422,
64.9224,12.9953,,51.5046,1.0339,,-145.0625,
65.0748,13.0069,,48.5789,0.7846,,-143.2946,
65.2272,13.0186,,49.0869,0.6864,,-144.0703,
65.3796,13.0186,,50.5597,0.7516,,-141.6797,
65.532,12.9953,,59.4233,0.9451,,-139.5234,
