,UTM_X,UTM_Y,Interval,CBA,Regional,Residual
14,302531.74110816326,4249569.5077346945,16989.706285715103,-196.1593721495267,-197.24566983382348,1.0862976842967953
15,302531.74110816326,4250783.058183674,18203.256734694354,-194.68462297842822,-196.54247192240925,1.8578489439810255
16,302531.74110816326,4251996.608632653,19416.807183673605,-195.2303576132352,-195.91384859564474,0.6834909824095234
17,302531.74110816326,4253210.159081633,20630.357632653788,-194.23877586111303,-195.21856397868032,0.9797881175672956
18,302531.74110816326,4254423.709530612,21843.90808163304,-190.28116049119848,-194.45606654603753,4.174906054839056
19,302531.74110816326,4255637.259979592,23057.45853061229,-186.29651833027685,-193.52603473964194,7.22951640936509
20,302531.74110816326,4256850.810428572,24271.008979592472,-182.0212978044726,-192.56580966860693,10.544511864134336
21,302531.74110816326,4258064.360877551,25484.559428571723,-188.96400006629193,-192.3706287813914,3.4066287150994583
22,302531.74110816326,4259277.91132653,26698.109877550974,-178.535603109249,-191.60486245600936,13.069259346760361
23,302531.74110816326,4260491.461775511,27911.660326531157,-185.74744452010992,-191.24389911605812,5.496454595948194
24,302531.74110816326,4261705.01222449,29125.210775510408,-188.3699172458963,-190.88130331118845,2.5113860652921574
25,302531.74110816326,4262918.56267347,30338.76122449059,-185.8752753606991,-190.27202550008408,4.396750139384977
26,302531.74110816326,4264132.113122449,31552.31167346984,-183.8967553149535,-189.4607286215304,5.563973306576884
27,302531.74110816326,4265345.6635714285,32765.862122449093,-184.6454613307841,-188.74392986844356,4.098468537659471
28,302531.74110816326,4266559.214020409,33979.412571429275,-178.56556923272285,-187.56747542726382,9.001906194540965
29,302531.74110816326,4267772.764469388,35192.963020408526,-178.98583614579275,-186.42257302701492,7.436736881222174
30,302531.74110816326,4268986.314918367,36406.51346938778,-179.99788783199665,-185.44345735058613,5.44556951858948
31,302531.74110816326,4270199.865367347,37620.06391836796,-181.13875506248147,-184.50401718053587,3.365262118054403
32,302531.74110816326,4271413.415816327,38833.61436734721,-181.0914560736675,-183.62752919470617,2.536073121038669
33,302531.74110816326,4272626.966265306,40047.16481632646,-180.07824957983968,-182.9473351339489,2.8690855541092333
34,302531.74110816326,4273840.516714286,41260.715265306644,-178.79796459391366,-182.44743155152472,3.649466957611054
35,302531.74110816326,4275054.067163265,42474.265714285895,-179.34173025449192,-182.26879371485933,2.927063460367407
36,302531.74110816326,4276267.6176122455,43687.81616326608,-179.90679467254807,-181.66498002194305,1.758185349394978
37,302531.74110816326,4277481.168061225,44901.36661224533,-178.44976809807378,-181.65925768786474,3.2094895897909623
38,302531.74110816326,4278694.718510204,46114.91706122458,-174.90788688938585,-180.9366205124831,6.028733623097253
39,302531.74110816326,4279908.268959184,47328.46751020476,-182.93474675409138,-180.57427581302946,-2.3604709410619193
40,302531.74110816326,4281121.819408163,48542.01795918401,-186.61464015128615,-180.62356679906858,-5.991073352217569
41,302531.74110816326,4282335.369857143,49755.568408163264,-187.4843260308927,-180.86273818013117,-6.621587850761529
42,302531.74110816326,4283548.920306123,50969.11885714345,-190.96419102808625,-181.28398682661796,-9.680204201468285
43,302531.74110816326,4284762.470755102,52182.6693061227,-189.7254538229616,-182.0279791326339,-7.697474690327709
44,302531.74110816326,4285976.021204082,53396.21975510288,-189.41888990001152,-182.72351604958183,-6.695373850429689
45,302531.74110816326,4287189.571653062,54609.77020408213,-187.31198181830396,-183.21112231533564,-4.100859502968319
46,302531.74110816326,4288403.122102041,55823.32065306138,-185.01823745889777,-183.46975447509672,-1.5484829838010512
47,302531.74110816326,4289616.672551021,57036.871102041565,-185.3794607694091,-183.75562145481283,-1.6238393145962675
