,UTM_X,UTM_Y,Interval,CBA,Regional,Residual
10,305546.6524,4276267.618,19352.33113,-175.9902579,-185.866571,9.876313081
11,307054.108,4275054.067,21287.56424,-175.9983417,-184.7027432,8.704401532
12,308561.5637,4273840.517,23222.79735,-177.8156498,-183.8586574,6.043007675
13,310069.0193,4272626.966,25158.03047,-178.5432756,-183.1616531,4.618377477
14,311576.475,4271413.416,27093.26358,-178.7990076,-182.3935896,3.594582
15,313083.9306,4270199.865,29028.49669,-176.8953181,-181.1177933,4.222475198
16,314591.3862,4268986.315,30963.72981,-179.1821002,-179.7787122,0.596612033
17,316098.8419,4267772.764,32898.96292,-177.8364366,-178.3349965,0.498559873
18,317606.2975,4266559.214,34834.19603,-181.7190257,-177.7357383,-3.983287481
19,319113.7532,4265345.664,36769.42915,-186.5403359,-178.7932336,-7.747102235
20,320621.2088,4264132.113,38704.66226,-190.2443472,-179.9603724,-10.28397483
21,322128.6644,4262918.563,40639.89537,-199.4393171,-182.092105,-17.34721209
22,323636.1201,4261705.012,42575.12848,-204.1246862,-184.6490454,-19.4756408
23,325143.5757,4260491.462,44510.3616,-207.9605896,-187.3894945,-20.57109506
24,326651.0314,4259277.911,46445.59471,-213.9952721,-190.6124033,-23.38286882
25,328158.487,4258064.361,48380.82782,-217.5520131,-194.1354038,-23.41660926
26,329665.9426,4256850.81,50316.06094,-217.750266,-197.84949,-19.90077606
27,331173.3983,4255637.26,52251.29405,-213.3097655,-200.952005,-12.35776052
28,332680.8539,4254423.71,54186.52716,-211.2242956,-203.9872649,-7.237030697
29,334188.3096,4253210.159,56121.76027,-205.7935148,-206.1758548,0.382340018
30,335695.7652,4251996.609,58056.99339,-203.9325933,-207.7569691,3.824375831
31,337203.2208,4250783.058,59992.2265,-202.08883,-208.8337403,6.744910328
32,338710.6765,4249569.508,61927.45961,-203.796917,-209.2298858,5.432968759
33,340218.1321,4248355.957,63862.69273,-204.4710574,-209.261374,4.790316675
34,341725.5878,4247142.407,65797.92584,-205.7352818,-209.0590733,3.323791549
35,343233.0434,4245928.856,67733.15895,-208.842123,-208.5906052,-0.251517757
36,344740.4991,4244715.306,69668.39206,-208.9514138,-207.8087326,-1.142681205
37,346247.9547,4243501.755,71603.62518,-218.7840994,-207.9027174,-10.881382
38,347755.4103,4242288.205,73538.85829,-224.4997789,-208.9199914,-15.57978751
39,349262.866,4241074.655,75474.0914,-235.8040653,-211.1545159,-24.64954944
40,350770.3216,4239861.104,77409.32452,-241.7452823,-214.4228584,-27.32242393
41,352277.7773,4238647.554,79344.55763,-242.6876647,-217.9460467,-24.74161807
42,353785.2329,4237434.003,81279.79074,-241.702508,-221.5472901,-20.15521787
43,355292.6885,4236220.453,83215.02385,-235.5224799,-224.4314322,-11.09104766
44,356800.1442,4235006.902,85150.25697,-228.4135622,-226.6080236,-1.80553862
