,UTM_X,UTM_Y,Interval,CBA,Regional,Residual
8,302531.74110816326,4243501.755489796,15481.864903164707,-193.80885431894143,-199.93781508455274,6.1289607656113105
9,304039.19674897956,4244715.305938776,17417.09801606006,-192.9510098878834,-198.52049053816302,5.5694806502796155
10,305546.6523897959,4245928.856387755,19352.33112895546,-193.09504392363368,-196.54751303929146,3.4524691156577774
11,307054.10803061223,4247142.406836735,21287.564241851396,-198.88323890155198,-195.751169556713,-3.132069344838982
12,308561.56367142854,4248355.957285714,23222.797354746748,-199.6580090595726,-195.23211544384765,-4.425893615724959
13,310069.0193122449,4249569.5077346945,25158.03046764273,-194.84794897255995,-194.37600601084068,-0.47194296171926453
14,311576.4749530612,4250783.058183674,27093.26358053808,-194.46995656228077,-194.40756054108093,-0.06239602119984511
15,313083.93059387757,4251996.608632653,29028.49669343348,-190.8459186075586,-194.4251068605491,3.5791882529905195
16,314591.38623469387,4253210.159081633,30963.72980632942,-189.91126327475936,-194.27458261208238,4.36331933732302
17,316098.8418755102,4254423.709530612,32898.962919224774,-184.951950704924,-193.29048221052489,8.338531505600884
18,317606.29751632654,4255637.259979592,34834.19603212017,-185.73082988749124,-192.4882399882591,6.757410100767856
19,319113.75315714284,4256850.810428572,36769.4291450161,-189.27481661098363,-192.06377028685353,2.788953675869891
20,320621.20879795915,4258064.360877551,38704.662257911456,-190.04766366656483,-191.0820397051883,1.0343760386234635
21,322128.6644387755,4259277.91132653,40639.89537080685,-199.28096168973184,-191.04014555298374,-8.240816136748094
22,323636.1200795918,4260491.461775511,42575.128483702785,-203.97955094015285,-192.05476799382743,-11.924782946325422
23,325143.5757204082,4261705.01222449,44510.36159659818,-207.91940474436268,-193.54915112516989,-14.370253619192795
24,326651.0313612245,4262918.56267347,46445.594709494115,-212.38608909836896,-195.9425034019266,-16.44358569644237
25,328158.48700204084,4264132.113122449,48380.82782238951,-211.54032015447714,-198.34573194411743,-13.194588210359711
26,329665.94264285715,4265345.6635714285,50316.06093528486,-210.13200952410983,-201.14351625736032,-8.988493266749515
27,331173.39828367345,4266559.214020409,52251.2940481808,-210.00898824703074,-203.84108940842026,-6.167898838610483
28,332680.8539244898,4267772.764469388,54186.52716107619,-207.56079054915122,-205.87286429043888,-1.6879262587123378
29,334188.3095653061,4268986.314918367,56121.760273971544,-198.37616289569903,-206.798253093676,8.422090197976985
30,335695.7652061224,4270199.865367347,58056.99338686748,-196.74402824222716,-206.51637159950883,9.77234335728167
31,337203.2208469388,4271413.415816327,59992.22649976287,-188.3883913333785,-204.78402053208944,16.395629198710935
32,338710.6764877551,4272626.966265306,61927.459612658226,-184.95364661809896,-202.23226962917124,17.278623011072284
33,340218.1321285714,4273840.516714286,63862.69272555416,-184.63618408960178,-199.14894685041932,14.512762760817537
34,341725.58776938776,4275054.067163265,65797.92583844956,-181.64637742580382,-195.82739765834452,14.181020232540703
35,343233.04341020406,4276267.6176122455,67733.1589513455,-188.21144797792988,-193.39177970876895,5.180331730839072
36,344740.4990510204,4277481.168061225,69668.39206424089,-195.81632871178232,-191.81481753818582,-4.001511173596498
37,346247.9546918367,4278694.718510204,71603.62517713624,-198.33863714007015,-190.7901338260657,-7.548503314004449
38,347755.4103326531,4279908.268959184,73538.85829003222,-201.9876183865438,-191.19140665838177,-10.796211728162035
39,349262.8659734694,4281121.819408163,75474.09140292757,-205.59929121369606,-192.17532476632275,-13.423966447373317
40,350770.3216142857,4282335.369857143,77409.32451582293,-207.5984530139636,-194.30977606416553,-13.28867694979806
41,352277.77725510206,4283548.920306123,79344.5576287189,-207.49888745794829,-196.8148028241488,-10.684084633799472
42,353785.23289591837,4284762.470755102,81279.79074161426,-206.54122341919515,-199.24869608299252,-7.292527336202625
43,355292.68853673467,4285976.021204082,83215.02385451019,-202.39181892856317,-201.55374513885465,-0.8380737897085169
44,356800.14417755103,4287189.571653062,85150.25696740558,-205.139703487078,-203.43466241764892,-1.705041069429086
45,358307.59981836734,4288403.122102041,87085.49008030094,-199.54089215580444,-203.84850280031804,4.307610644513602
